ScientificName	AphiaID	Match type	LSID	ScientificName_1	AphiaID_accepted	ScientificName_accepted
Ischnochiton dispar	848042	exact	urn:lsid:marinespecies.org:taxname:848042	Ischnochiton dispar	848042	Ischnochiton dispar
Isognomon bicolor	420737	exact	urn:lsid:marinespecies.org:taxname:420737	Isognomon bicolor	420737	Isognomon bicolor
Isognomon janus	507054	exact	urn:lsid:marinespecies.org:taxname:507054	Isognomon janus	507054	Isognomon janus
ISOPODA	1131	exact	urn:lsid:marinespecies.org:taxname:1131	Isopoda	1131	Isopoda
Jania sp.	144012	exact	urn:lsid:marinespecies.org:taxname:144012	Jania	144012	Jania
Lacuna vincta	140170	exact	urn:lsid:marinespecies.org:taxname:140170	Lacuna vincta	140170	Lacuna vincta
Laurencia sp.	143914	exact	urn:lsid:marinespecies.org:taxname:143914	Laurencia	143914	Laurencia
Leathesia sp.	143973	exact	urn:lsid:marinespecies.org:taxname:143973	Leathesia	143973	Leathesia
Leiosolenus patagonicus	506057	exact	urn:lsid:marinespecies.org:taxname:506057	Leiosolenus patagonicus	506057	Leiosolenus patagonicus
Lessonia nigrescens	373654	exact	urn:lsid:marinespecies.org:taxname:373654	Lessonia nigrescens	373654	Lessonia nigrescens
Lessonia spicata	837696	exact	urn:lsid:marinespecies.org:taxname:837696	Lessonia spicata	837696	Lessonia spicata
Lithophyllum rugosum	547486	exact	urn:lsid:marinespecies.org:taxname:547486	Lithophyllum rugosum	547486	Lithophyllum rugosum
Lithophyllum sp.	144016	exact	urn:lsid:marinespecies.org:taxname:144016	Lithophyllum	144016	Lithophyllum
Lithothamniaceae	1305091	exact	urn:lsid:marinespecies.org:taxname:1305091	Lithothamniaceae	1305091	Lithothamniaceae
Lithothamnion sp.	144018	exact	urn:lsid:marinespecies.org:taxname:144018	Lithothamnion	144018	Lithothamnion
Lithothamnium sp.	205926	exact	urn:lsid:marinespecies.org:taxname:205926	Lithothamnium	144016	Lithophyllum
Littorina littorea	140262	exact	urn:lsid:marinespecies.org:taxname:140262	Littorina littorea	140262	Littorina littorea
Littorina obtusata	140263	exact	urn:lsid:marinespecies.org:taxname:140263	Littorina obtusata	140263	Littorina obtusata
Lobophora variegata	145381	exact	urn:lsid:marinespecies.org:taxname:145381	Lobophora variegata	145381	Lobophora variegata
Lottia	160336	exact	urn:lsid:marinespecies.org:taxname:160336	Lottia	160336	Lottia
Lottia mesoleuca	456599	exact	urn:lsid:marinespecies.org:taxname:456599	Lottia mesoleuca	456599	Lottia mesoleuca
Mastocarpus latissiumus	625994	phonetic	urn:lsid:marinespecies.org:taxname:625994	Mastocarpus latissimus	625994	Mastocarpus latissimus
Mastocarpus stellatus	145650	exact	urn:lsid:marinespecies.org:taxname:145650	Mastocarpus stellatus	145650	Mastocarpus stellatus
Mazzaella laminarioides	371711	exact	urn:lsid:marinespecies.org:taxname:371711	Mazzaella laminarioides	371711	Mazzaella laminarioides
Mithraculus denticulatus	442116	exact	urn:lsid:marinespecies.org:taxname:442116	Mithraculus denticulatus	442116	Mithraculus denticulatus
Mitra tristis	590684	exact	urn:lsid:marinespecies.org:taxname:590684	Mitra tristis	890223	Strigatella tristis
Mitrella	137804	exact	urn:lsid:marinespecies.org:taxname:137804	Mitrella	137804	Mitrella
Mitrella elegans	511500	exact	urn:lsid:marinespecies.org:taxname:511500	Mitrella elegans	511500	Mitrella elegans
Monanchora	169014	exact	urn:lsid:marinespecies.org:taxname:169014	Monanchora	169014	Monanchora
Monostroma hariotii	325529	exact	urn:lsid:marinespecies.org:taxname:325529	Monostroma hariotii	325529	Monostroma hariotii
